Timestamp,Open price,Close price,High price,Low price,Volume
2022-08-07 01:00:00,23178,23161.5,23213,23150,2133295
2022-08-07 01:15:00,23161.5,23152,23166,23142.5,1503385
2022-08-07 01:30:00,23152,23169,23174.5,23140.5,1262787
2022-08-07 01:45:00,23169,23164,23184.5,23153,824901
2023-02-21 00:00:00,24831.5,24819.5,24836.5,24794.5,2407695
2023-02-21 00:15:00,24819.5,24819,24828,24795.5,2446162
2023-02-21 00:30:00,24819,24855.5,24855.5,24767.5,3475771
2023-02-21 00:45:00,24855.5,24799,24856.5,24798.5,1839413
2023-02-21 01:00:00,24799,24806.5,24821,24776,5801993
2023-02-21 01:15:00,24806.5,24713.5,24807,24678.5,15125131
2023-02-21 01:30:00,24713.5,24732,24768,24700.5,3587943
2023-02-21 01:45:00,24732,24727.5,24790.5,24717.5,3458403
2023-02-21 02:00:00,24727.5,24845.5,24845.5,24726,4380627
2023-02-21 02:15:00,24845.5,24814,24845.5,24782.5,4914683
2023-02-21 02:30:00,24814,24796,24824,24785,2493899
2023-02-21 02:45:00,24796,24868.5,24872.5,24795.5,3598081
2023-02-21 03:00:00,24868.5,24842.5,24872.5,24798,8628168
2023-02-21 03:15:00,24842.5,24832,24842.5,24802.5,1790974
2023-02-21 03:30:00,24832,24931,24968,24831.5,14544468
2023-02-21 03:45:00,24931,24874.5,24931.5,24874,3405700
2023-02-21 04:00:00,24874.5,24867.5,24890,24843,2493734
2023-02-21 04:15:00,24867.5,24833,24902.5,24819.5,3550278
2023-02-21 04:30:00,24833,24884,24889.5,24820.5,1099212
2023-02-21 04:45:00,24884,24879,24941,24871.5,2606843
2023-02-21 05:00:00,24879,24903.5,24917.5,24873,1735901
2023-02-21 05:15:00,24903.5,24945,24956.5,24893,4043818
2023-02-21 05:30:00,24945,25097,25124,24941.5,28189510
2023-02-21 05:45:00,25097,24931,25097.5,24906.5,13936524
2023-02-21 06:00:00,24931,24965.5,24992.5,24865,8797967
2023-02-21 06:15:00,24965.5,24993,25020,24929,6631037
2023-02-21 06:30:00,24993,24944,25033.5,24937.5,3562072
2023-02-21 06:45:00,24944,24944.5,24964,24930,4942897
2023-02-21 07:00:00,24944.5,24927.5,24963.5,24913,1863514
2023-02-21 07:15:00,24927.5,24940.5,24941.5,24892,2202263
2023-02-21 07:30:00,24940.5,24891.5,24941,24869,7007524
2023-02-21 07:45:00,24891.5,24921,24942.5,24885,4315283
2023-02-21 08:00:00,24921,24894.5,24926,24887.5,3625552
2023-02-21 08:15:00,24894.5,24916,24922.5,24894.5,914580
2023-02-21 08:30:00,24916,24923,24956,24916,1899821
2023-02-21 08:45:00,24923,24962,24975.5,24923,4260033
2023-02-21 09:00:00,24962,24994,25011.5,24950,5174919
2023-02-21 09:15:00,24994,24959,24994.5,24952.5,2164189
2023-02-21 09:30:00,24959,24990.5,24992.5,24942,1800084
2023-02-21 09:45:00,24990.5,25047,25070,24981,11051144
2023-02-21 10:00:00,25047,25034,25050,24960,7387921
2023-02-21 10:15:00,25034,25011,25034,25001,2594221
2023-02-21 10:30:00,25011,25000,25024,24982,2633660
2023-02-21 10:45:00,25000,25010.5,25060,24998,4367638
2023-02-21 11:00:00,25010.5,25054.5,25090,24993,8349113
2023-02-21 11:15:00,25054.5,25070.5,25351,25031.5,60793078
2023-02-21 11:30:00,25070.5,24809,25105.5,24773.5,76329354
2023-02-21 11:45:00,24809,24699.5,24810,24620,56363614
2023-02-21 12:00:00,24699.5,24675,24777,24550,35765492
2023-02-21 12:15:00,24675,24736.5,24760,24663.5,6832993
2023-02-21 12:30:00,24736.5,24814.5,24856,24728,19419897
2023-02-21 12:45:00,24814.5,24823,24845,24777.5,4608077
2023-02-21 13:00:00,24823,24753,24823,24752.5,3183158
2023-02-21 13:15:00,24753,24783,24793,24718,3861110
2023-02-21 13:30:00,24783,24736.5,24789.5,24703.5,4716710
